id,Name
1,start
1,F
1,A
1,I
1,B
1,H
1,C
1,J
1,D
1,K
1,G
1,end
2,start
2,F
2,B
2,A
2,C
2,H
2,I
2,J
2,D
2,K
2,G
2,end
3,start
3,F
3,C
3,A
3,B
3,J
3,I
3,H
3,D
3,K
3,G
3,end
4,start
4,F
4,C
4,A
4,B
4,H
4,J
4,I
4,D
4,K
4,G
4,end
5,start
5,F
5,A
5,C
5,B
5,I
5,H
5,J
5,D
5,K
5,G
5,end
6,start
6,F
6,B
6,C
6,A
6,H
6,I
6,J
6,D
6,K
6,G
6,end
7,start
7,F
7,A
7,B
7,I
7,H
7,D
7,C
7,K
7,J
7,G
7,end
8,start
8,F
8,A
8,B
8,I
8,H
8,D
8,K
8,C
8,J
8,G
8,end
9,start
9,F
9,B
9,C
9,A
9,J
9,I
9,H
9,D
9,K
9,G
9,end
10,start
10,F
10,B
10,A
10,C
10,I
10,H
10,D
10,J
10,K
10,G
10,end
11,start
11,F
11,A
11,I
11,B
11,H
11,C
11,D
11,J
11,K
11,G
11,end
12,start
12,F
12,B
12,H
12,A
12,I
12,C
12,D
12,J
12,K
12,G
12,end
13,start
13,F
13,C
13,J
13,A
13,I
13,B
13,H
13,D
13,K
13,G
13,end
14,start
14,F
14,C
14,J
14,B
14,H
14,A
14,I
14,D
14,K
14,G
14,end
15,start
15,F
15,A
15,B
15,C
15,J
15,H
15,I
15,D
15,K
15,G
15,end
